,state,time,id,cov1,cov2
0,1,0,1,0,0
1,4,1.835955817,1,0,0
4,1,0,2,0,0
5,4,1.669500463,2,0,0
8,1,0,3,0,0
9,4,2.239667629,3,0,0
11,1,0,4,0,0
12,4,0.806707721,4,0,0
15,1,0,5,0,0
16,4,0.516961729,5,0,0
19,1,0,6,0,0
20,4,1.152178061,6,0,0
23,1,0,7,0,0
24,4,2.701564682,7,0,0
26,1,0,8,0,0
27,4,1.089882317,8,0,0
29,1,0,9,0,0
30,4,2.842052308,9,0,0
33,1,0,10,0,0
34,4,1.284716748,10,0,0
37,1,0,11,0,0
38,4,2.5944963,11,0,0
41,1,0,12,0,0
42,4,3.036954825,12,0,0
43,1,0,13,0,0
44,4,1.677925562,13,0,0
47,1,0,14,0,0
48,4,3.33255513,14,0,0
51,1,0,15,0,0
52,4,1.48077474,15,0,0
55,1,0,16,0,0
56,4,0.519923103,16,0,0
59,2,0,17,0,0
60,1,2.851594394,17,0,0
61,4,5.09377355,17,0,0
62,2,0,18,0,0
63,1,1.102688217,18,0,0
64,4,3.625623908,18,0,0
65,2,0,19,0,0
66,1,2.179642208,19,0,0
67,4,3.476270905,19,0,0
69,2,0,20,0,0
70,1,3.006359088,20,0,0
71,4,4.425389538,20,0,0
73,2,0,21,0,0
74,1,2.634939444,21,0,0
75,4,3.748492079,21,0,0
77,2,0,22,0,0
78,1,2.694788116,22,0,0
79,4,5.919163599,22,0,0
80,2,0,23,0,0
81,1,1.657053005,23,0,0
82,4,3.104983951,23,0,0
84,2,0,24,0,0
85,1,2.98655376,24,0,0
86,4,3.93155232,24,0,0
89,2,0,26,0,0
90,1,2.402377139,26,0,0
91,4,3.723891392,26,0,0
93,2,0,27,0,0
94,1,2.565203252,27,0,0
95,4,4.36905309,27,0,0
97,2,0,28,0,0
98,1,2.324978078,28,0,0
99,4,3.935601995,28,0,0
101,2,0,29,0,0
102,1,3.266378729,29,0,0
103,4,3.969121678,29,0,0
104,2,0,30,0,0
105,1,0.838990305,30,0,0
106,4,2.557541473,30,0,0
108,2,0,31,0,0
109,1,1.146989913,31,0,0
110,4,3.893908722,31,0,0
112,2,0,32,0,0
113,1,1.889641412,32,0,0
114,4,5.271368513,32,0,0
115,2,0,33,0,0
116,1,2.675023888,33,0,0
117,4,3.963329114,33,0,0
118,2,0,34,0,0
119,1,2.855536123,34,0,0
120,4,5.340661243,34,0,0
