,state,time,id,cov1,cov2
0,1,0,1,0,0
1,4,1.835955817,1,0,0
2,2,0,17,0,0
3,1,2.851594394,17,0,0
4,4,5.09377355,17,0,0
5,3,0,47,0,0
6,1,1.239868669,47,0,0
7,4,3.037823621,47,0,0
8,4,0,65,0,0
9,1,1.330644836,65,0,0
10,1,0,2,0,0
11,4,1.669500463,2,0,0
12,2,0,18,0,0
13,1,1.102688217,18,0,0
14,4,3.625623908,18,0,0
15,4,0,66,0,0
16,1,1.646472909,66,0,0
17,3,0,48,0,0
18,1,2.783192325,48,0,0
19,4,4.322598943,48,0,0
20,1,0,3,0,0
21,4,2.239667629,3,0,0
22,2,0,19,0,0
23,1,2.179642208,19,0,0
24,4,3.476270905,19,0,0
25,3,0,49,0,0
26,1,1.786163073,49,0,0
27,4,4.490270498,49,0,0
28,4,0,67,0,0
29,1,2.199145656,67,0,0
30,1,0,4,0,0
31,4,0.806707721,4,0,0
32,2,0,20,0,0
33,1,3.006359088,20,0,0
34,4,4.425389538,20,0,0
35,3,0,51,0,0
36,1,0.787209405,51,0,0
37,4,1.42865045,51,0,0
38,4,0,68,0,0
39,1,2.011138432,68,0,0
40,1,0,5,0,0
41,4,0.516961729,5,0,0
42,2,0,21,0,0
43,1,2.634939444,21,0,0
44,4,3.748492079,21,0,0
45,3,0,52,0,0
46,1,0.777357903,52,0,0
47,4,2.247431083,52,0,0
48,4,0,69,0,0
49,1,1.504805924,69,0,0
50,1,0,6,0,0
51,4,1.152178061,6,0,0
52,2,0,22,0,0
53,1,2.694788116,22,0,0
54,4,5.919163599,22,0,0
55,3,0,53,0,0
56,1,1.901574546,53,0,0
57,4,4.503703001,53,0,0
58,4,0,70,0,0
59,1,2.815654855,70,0,0
60,1,0,7,0,0
61,4,2.701564682,7,0,0
62,2,0,23,0,0
63,1,1.657053005,23,0,0
64,4,3.104983951,23,0,0
65,3,0,54,0,0
66,1,3.423672703,54,0,0
67,4,4.670363041,54,0,0
68,4,0,71,0,0
69,1,3.141495631,71,0,0
70,1,0,8,0,0
71,4,1.089882317,8,0,0
72,2,0,24,0,0
73,1,2.98655376,24,0,0
74,4,3.93155232,24,0,0
75,3,0,55,0,0
76,1,2.599322846,55,0,0
77,4,5.547801639,55,0,0
78,4,0,72,0,0
79,1,2.863687571,72,0,0
80,1,0,9,0,0
81,4,2.842052308,9,0,0
82,2,0,26,0,0
83,1,2.402377139,26,0,0
84,4,3.723891392,26,0,0
85,3,0,56,0,0
86,1,1.324958759,56,0,0
87,4,3.324741505,56,0,0
88,4,0,73,0,0
89,1,1.905268453,73,0,0
90,1,0,10,0,0
91,4,1.284716748,10,0,0
92,2,0,27,0,0
93,1,2.565203252,27,0,0
94,4,4.36905309,27,0,0
95,3,0,58,0,0
96,1,1.818131931,58,0,0
97,4,2.826281674,58,0,0
98,4,0,74,0,0
99,1,0.615693973,74,0,0
100,1,0,11,0,0
101,4,2.5944963,11,0,0
102,2,0,28,0,0
103,1,2.324978078,28,0,0
104,4,3.935601995,28,0,0
105,3,0,59,0,0
106,1,1.084827298,59,0,0
107,4,2.883620469,59,0,0
108,4,0,75,0,0
109,1,2.63372255,75,0,0
110,1,0,12,0,0
111,4,3.036954825,12,0,0
112,2,0,29,0,0
113,1,3.266378729,29,0,0
114,4,3.969121678,29,0,0
115,3,0,60,0,0
116,1,1.773365889,60,0,0
117,4,2.932076934,60,0,0
118,4,0,76,0,0
119,1,1.716891249,76,0,0
120,1,0,13,0,0
121,4,1.677925562,13,0,0
122,2,0,30,0,0
123,1,0.838990305,30,0,0
124,4,2.557541473,30,0,0
125,3,0,61,0,0
126,1,2.905089218,61,0,0
127,4,4.927554386,61,0,0
128,4,0,77,0,0
129,1,2.893943899,77,0,0
130,1,0,14,0,0
131,4,3.33255513,14,0,0
132,2,0,31,0,0
133,1,1.146989913,31,0,0
134,4,3.893908722,31,0,0
135,3,0,62,0,0
136,1,3.254003309,62,0,0
137,4,4.945058343,62,0,0
138,4,0,78,0,0
139,1,2.969312416,78,0,0
140,1,0,15,0,0
141,4,1.48077474,15,0,0
142,2,0,32,0,0
143,1,1.889641412,32,0,0
144,4,5.271368513,32,0,0
145,3,0,64,0,0
146,1,2.753927073,64,0,0
147,4,4.589033563,64,0,0
148,4,0,79,0,0
149,1,1.059382383,79,0,0
150,1,0,16,0,0
151,4,0.519923103,16,0,0
152,2,0,33,0,0
153,1,2.675023888,33,0,0
154,4,3.963329114,33,0,0
155,3,0,64,0,0
156,1,2.653927073,64,0,0
157,4,4.189033563,64,0,0
158,4,0,79,0,0
159,1,1.159382383,79,0,0
