,state,time,id,cov1,cov2
1,1,0,1,0,0.7
2,2,1.835955817,1,0,0.7
3,3,2.774096943,1,0,0.7
4,4,4.943526052,1,0,0.7
5,2,7.829683601,1,0,0.7
6,1,0,2,1,0.4
7,1,1.669500463,2,1,0.4
8,2,4.203845034,2,1,0.4
9,3,5.171341908,2,1,0.4
10,4,6.880541715,2,1,0.4
11,1,0,3,0,-0.1
12,2,2.239667629,3,0,-0.1
13,3,4.187849309,3,0,-0.1
14,1,0,4,1,-1.95
15,1,0.806707721,4,1,-1.95
16,3,4.152272245,4,1,-1.95
17,4,6.392960624,4,1,-1.95
18,1,0,5,1,-0.65
19,1,0.516961729,5,1,-0.65
20,2,1.934267534,5,1,-0.65
21,3,2.827107947,5,1,-0.65
22,4,4.501426946,5,1,-0.65
23,2,6.199779126,5,1,-0.65
24,1,0,6,0,0
25,1,1.152178061,6,0,0
26,2,4.577772524,6,0,0
27,4,8.053410948,6,0,0
28,1,0,7,1,0.4
29,3,2.701564682,7,1,0.4
30,4,4.204810409,7,1,0.4
31,1,0,8,1,-0.7
32,1,1.089882317,8,1,-0.7
33,4,3.379884218,8,1,-0.7
34,1,0,9,0,0.45
35,2,2.842052308,9,0,0.45
36,3,4.993362577,9,0,0.45
37,4,6.432205365,9,0,0.45
38,2,8.67503094,9,0,0.45
39,1,0,10,0,0
40,1,1.284716748,10,0,0
41,1,3.353692908,10,0,0
42,3,6.113786086,10,0,0
43,4,7.706884968,10,0,0
44,2,10.58627548,10,0,0
45,1,0,11,0,-0.5
46,2,2.5944963,11,0,-0.5
47,3,3.572316045,11,0,-0.5
48,4,4.560225714,11,0,-0.5
49,1,0,12,1,-1.6
50,4,3.036954825,12,1,-1.6
51,1,0,13,0,1.6
52,1,1.677925562,13,0,1.6
53,1,2.995872843,13,0,1.6
54,2,4.517116743,13,0,1.6
55,3,5.686932657,13,0,1.6
56,4,6.464208212,13,0,1.6
57,2,9.7062699,13,0,1.6
58,1,0,14,1,0.5
59,2,3.33255513,14,1,0.5
60,3,4.762160364,14,1,0.5
61,4,6.697634599,14,1,0.5
62,2,8.840037874,14,1,0.5
63,1,0,15,1,-0.2
64,2,1.48077474,15,1,-0.2
65,3,2.255295261,15,1,-0.2
66,4,3.897098577,15,1,-0.2
67,2,5.581596788,15,1,-0.2
68,1,0,16,0,-0.4
69,1,0.519923103,16,0,-0.4
70,2,3.629553395,16,0,-0.4
71,2,4.247686635,16,0,-0.4
72,3,5.23839751,16,0,-0.4
73,4,6.757572499,16,0,-0.4
74,2,9.35407425,16,0,-0.4
75,1,0,17,0,1
76,1,2.851594394,17,0,1
77,3,5.09377355,17,0,1
78,1,0,18,1,1.25
79,1,1.102688217,18,1,1.25
80,3,3.625623908,18,1,1.25
